airlift	airlifts	airlifted	airlifted	airlifting
airmail	airmails	airmailed	airmailed	airmailing
alarm	alarms	alarmed	alarmed	alarming
albumenize	albumenizes	albumenized	albumenized	albumenizing
alchemize	alchemizes	alchemized	alchemized	alchemizing
alcoholize	alcoholizes	alcoholized	alcoholized	alcoholizing
alert	alerts	alerted	alerted	alerting
alibi	alibis	alibied	alibied	alibiing
alien	aliens	aliened	aliened	aliening
alienate	alienates	alienated	alienated	alienating
alight	alights	alighted	alighted	alighting
alight	alights	alit	alit	alighting
align	aligns	aligned	aligned	aligning
aliment	aliments	alimented	alimented	alimenting
aline	alines	alined	alined	alining
alkalify	alkalifies	alkalified	alkalified	alkalifying
alkalize	alkalizes	alkalized	alkalized	alkalizing
allay	allays	allayed	allayed	allaying
allege	alleges	alleged	alleged	alleging
allegorize	allegorizes	allegorized	allegorized	allegorizing
alleviate	alleviates	alleviated	alleviated	alleviating
alliterate	alliterates	alliterated	alliterated	alliterating
allocate	allocates	allocated	allocated	allocating
allot	allots	allotted	allotted	allotting
allow	allows	allowed	allowed	allowing
allowance	allowances	allowanced	allowanced	allowancing
alloy	alloys	alloyed	alloyed	alloying
allude	alludes	alluded	alluded	alluding
allure	allures	allured	allured	alluring
ally	allies	allied	allied	allying
alpha-test	alpha-tests	alpha-tested	alpha-tested	alpha-testing
alphabetise	alphabetises	alphabetised	alphabetised	alphabetising
alphabetize	alphabetizes	alphabetized	alphabetized	alphabetizing
alphatest	alphatests	alphatested	alphatested	alphatesting
alter	alters	altered	altered	altering
altercate	altercates	altercated	altercated	altercating
alternate	alternates	alternated	alternated	alternating
aluminize	aluminizes	aluminized	aluminized	aluminizing
amalgamate	amalgamates	amalgamated	amalgamated	amalgamating
amass	amasses	amassed	amassed	amassing
amaze	amazes	amazed	amazed	amazing
amble	ambles	ambled	ambled	ambling
ambulate	ambulates	ambulated	ambulated	ambulating
ambuscade	ambuscades	ambuscaded	ambuscaded	ambuscading
ambush	ambushes	ambushed	ambushed	ambushing
ameliorate	ameliorates	ameliorated	ameliorated	ameliorating
amend	amends	amended	amended	amending
amerce	amerces	amerced	amerced	amercing
americanise	americanises	americanised	americanised	americanising
americanize	americanizes	americanized	americanized	americanizing
ammoniate	ammoniates	ammoniated	ammoniated	ammoniating
ammonify	ammonifies	ammonified	ammonified	ammonifying
amnesty	amnesties	amnestied	amnestied	amnestying
amortise	amortises	amortised	amortised	amortising
amortize	amortizes	amortized	amortized	amortizing
amount	amounts	amounted	amounted	amounting
amplify	amplifies	amplified	amplified	amplifying
amputate	amputates	amputated	amputated	amputating
amuse	amuses	amused	amused	amusing
anaesthetise	anaesthetises	anaesthetised	anaesthetised	anaesthetising
anaesthetize	anaesthetizes	anaesthetized	anaesthetized	anaesthetizing
anagrammatize	anagrammatizes	anagrammatized	anagrammatized	anagrammatizing
analogize	analogizes	analogized	analogized	analogizing
analyse	analyses	analysed	analysed	analysing
analyze	analyzes	analyzed	analyzed	analyzing
anastomose	anastomoses	anastomosed	anastomosed	anastomosing
anathematize	anathematizes	anathematized	anathematized	anathematizing
